Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Accountant 1,1316,1,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Accountant 1,1316,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Accountant 1,1316,3,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Accountant 1,1316,4,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Accountant 1,1316,5,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Accountant 1,1316,6,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Accountant 1,1316,7,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Accountant 1,1316,8,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Accountant 1,1316,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Accountant 1,1316,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Accountant 2,1317,1,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Accountant 2,1317,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Accountant 2,1317,3,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Accountant 2,1317,4,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Accountant 2,1317,5,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Accountant 2,1317,6,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Accountant 2,1317,7,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Accountant 2,1317,8,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Accountant 2,1317,9,Strikeable,7327,8177,8713,850,1386,19571,87924,104556
Accountant 2,1317,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Accountant 3,1318,1,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Accountant 3,1318,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Accountant 3,1318,3,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Accountant 3,1318,4,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Accountant 3,1318,5,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Accountant 3,1318,6,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Accountant 3,1318,7,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Accountant 3,1318,8,Strikeable,8057,8999,10065,942,2008,21372,96684,120780
Accountant 3,1318,9,Strikeable,8450,9447,10065,997,1615,22341,101400,120780
Accountant 3,1318,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Accounting Technician,313,1,Strikeable,3483,4036,4498,553,1015,10091,41796,53976
Accounting Technician,313,2,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Accounting Technician,313,3,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Accounting Technician,313,4,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Accounting Technician,313,5,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Accounting Technician,313,6,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Accounting Technician,313,7,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Accounting Technician,313,8,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Accounting Technician,313,9,Strikeable,5019,5598,5964,579,945,13879,60228,71568
Accounting Technician,313,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Activities Coordinator,6530,1,Strikeable,3483,4222,4715,739,1232,10091,41796,56580
Activities Coordinator,6530,2,Strikeable,3629,4222,4715,593,1086,10451,43548,56580
Activities Coordinator,6530,3,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Activities Coordinator,6530,4,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Activities Coordinator,6530,5,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Activities Coordinator,6530,6,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Activities Coordinator,6530,7,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Activities Coordinator,6530,8,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Activities Coordinator,6530,9,Strikeable,5019,5598,5964,579,945,13879,60228,71568
Activities Coordinator,6530,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Administrative Law Judge 1,1510,1,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Administrative Law Judge 1,1510,2,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Administrative Law Judge 1,1510,3,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Administrative Law Judge 1,1510,4,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
