Position,Classification_Code,Starting step,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Accountant 1,1316,1,4155,4639,5169,484,1014,11748,49860,62028
Accountant 2,1317,1,5019,5598,6245,579,1226,13879,60228,74940
Accountant 3,1318,1,5771,6444,7206,673,1435,15734,69252,86472
Accounting Technician,313,1,3483,4036,4498,553,1015,10091,41796,53976
Activities Coordinator,6530,1,3483,4222,4715,739,1232,10091,41796,56580
Administrative Law Judge 1,1510,1,5771,6444,7206,673,1435,15734,69252,86472
Administrative Law Judge 2,1511,1,6664,7436,8314,772,1650,17936,79968,99768
Administrative Law Judge 3,1513,1,8057,8999,10065,942,2008,21372,96684,120780
Administrative Specialist 1,107,1,3218,3709,4118,491,900,9437,38616,49416
Administrative Specialist 2,108,1,3629,4222,4715,593,1086,10451,43548,56580
Adult Protective Service Specialist,6616,1,4555,5086,5695,531,1140,12735,54660,68340
Aerial Photographer,3540,1,4356,4851,5420,495,1064,12244,52272,65040
Aircraft Pilot,8333,1,5019,5598,6245,579,1226,13879,60228,74940
Appraiser Analyst 1,735,1,3335,3865,4301,530,966,9726,40020,51612
Appraiser Analyst 2,736,1,4555,5086,5695,531,1140,12735,54660,68340
Appraiser Analyst 3,737,1,5256,5861,6549,605,1293,14464,63072,78588
Appraiser Analyst 4,738,1,6051,6763,7562,712,1511,16424,72612,90744
Apprenticeship Representative,4380,1,4155,4639,5169,484,1014,11748,49860,62028
Automotive Fleet Attendant,4417,1,0,,,,,1500,0,
Automotive Technician 1,4418,1,3483,4036,4498,553,1015,10091,41796,53976
Automotive Technician 2,4419,1,4155,4639,5169,484,1014,11748,49860,62028
Behavioral Health Specialist 1,6531,1,4356,4851,5420,495,1064,12244,52272,65040
Behavioral Health Specialist 2,6534,1,5019,5598,6245,579,1226,13879,60228,74940
Behavioral Health Specialist 3,6535,1,5503,6146,6866,643,1363,15073,66036,82392
Biological Science Assistant,3769,1,0,,,,,1500,0,
Business & Employment Specialist 2,6699,1,3790,4222,4715,432,925,10848,45480,56580
Carpenter,4003,1,3964,4425,4943,461,979,11277,47568,59316
Certified Occupation Therapist Assistant,6506,1,3629,4425,4943,796,1314,10451,43548,59316
Chaplain,6680,1,4356,4851,5420,495,1064,12244,52272,65040
Chemist 1,3715,1,4356,4851,5420,495,1064,12244,52272,65040
Chemist 2,3716,1,4776,5345,5964,569,1188,13280,57312,71568
Chemist 3,3717,1,5503,6146,6866,643,1363,15073,66036,82392
Child Nutrition Specialist,5950,1,5256,5861,6549,605,1293,14464,63072,78588
Child Support Case Manager,5139,1,3790,4425,4943,635,1153,10848,45480,59316
Child Support Case Manager Entry,5138,1,3483,4036,4498,553,1015,10091,41796,53976
Child Support Specialist,5133,1,4155,4639,5169,484,1014,11748,49860,62028
Civil Engineering Specialist 1,3136,1,4555,5086,5695,531,1140,12735,54660,68340
Civil Rights Investigator 1,5340,1,3790,4425,4943,635,1153,10848,45480,59316
Civil Rights Investigator 2,5341,1,4776,5345,5964,569,1188,13280,57312,71568
Claims Representative 1,5307,1,3964,4425,4943,461,979,11277,47568,59316
Claims Representative 2,5308,1,4356,4851,5420,495,1064,12244,52272,65040
Client Care Surveyor,6685,1,5256,5861,6549,605,1293,14464,63072,78588
Clinical Laboratory Scientist,6833,1,4356,4851,5420,495,1064,12244,52272,65040
Clinical Psychologist 1,6394,1,6664,7436,8314,772,1650,17936,79968,99768
Clinical Psychologist 2,6395,1,7327,8177,9143,850,1816,19571,87924,109716
Communicable Disease Analyst,5903,1,3964,4425,4943,461,979,11277,47568,59316
Community Outreach Specialist,6614,1,4776,5345,5964,569,1188,13280,57312,71568
Compliance Specialist 1,5346,1,3790,4425,4943,635,1153,10848,45480,59316
Compliance Specialist 2,5347,1,4555,5086,5695,531,1140,12735,54660,68340
Compliance Specialist 3,5348,1,5503,6146,6866,643,1363,15073,66036,82392
Construction Inspector,3365,1,5019,5598,6245,579,1226,13879,60228,74940
Construction Project Manager 1,3367,1,5019,5598,6245,579,1226,13879,60228,74940
Construction Project Manager 2,3368,1,5771,6444,7206,673,1435,15734,69252,86472
Construction Project Manager 3,3369,1,6664,7436,8314,772,1650,17936,79968,99768
Cook,9117,1,3218,3709,4118,491,900,9437,38616,49416
Custodial Services Coordinator,4103,1,0,,,,,1500,0,
Custodian,4101,1,0,,,,,1500,0,
Data Entry Control Technician,1475,1,0,,,,,1500,0,
Data Entry Operator,501,1,0,,,,,1500,0,
Dental Assistant 2,6394,1,3629,4425,4943,796,1314,10451,43548,59316
Dental Hygienist,6396,1,5503,6146,6866,643,1363,15073,66036,82392
Dietitian 2,6371,1,4776,5345,5964,569,1188,13280,57312,71568
Disability Analyst 1,5936,1,4155,4639,5169,484,1014,11748,49860,62028
